Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
RESULTAT APRES IMPOTS,,88,,1,,Equity,MAD
COMPTES DE PRODUITS ET CHARGES REFLECHIS,,90,,1,,Equity,MAD
COMPTES DE RECLASSEMENT ET D'ANALYSE,,91,,1,,Equity,MAD
SECTIONS ANALYTIQUES,,92,,1,,Equity,MAD
COUTS D’ACHAT OU DE PRODUCTION,,93,,1,,Equity,MAD
INVENTAIRE PERMANENT DES STOCKS,,94,,1,,Equity,MAD
COUTS DE REVIENT,,95,,1,,Equity,MAD
ECARTS SUR COUTS PREETABLIS,,96,,1,,Equity,MAD
DIFFERENCE D’INCORPORATION,,97,,1,,Equity,MAD
RESULTATS ANALYTIQUES,,98,,1,,Equity,MAD
COMPTES DE LIAISON INTERNE,,99,,1,,Equity,MAD
Réouverture des comptes de financement permanent,BILAN D’OUVERTURE,011,01,1,,Asset,MAD
Réouverture des comptes d’actif immobilisé,BILAN D’OUVERTURE,012,01,1,,Asset,MAD
Réouverture des comptes d’actif circulant (hors trésorerie),BILAN D’OUVERTURE,013,01,1,,Asset,MAD
014. Réouverture des comptes de passif circulant ( hors trésorerie),BILAN D’OUVERTURE,014,01,1,,Asset,MAD
Réouverture des comptes de trésorerie,BILAN D’OUVERTURE,015,01,1,,Asset,MAD
Clôture des comptes de financement permanent,CLOTURE DU BILAN,021,02,1,,Asset,MAD
Clôture des comptes d’actif immobilisé,CLOTURE DU BILAN,022,02,1,,Asset,MAD
Clôture des comptes d’actif circulant (hors trésorerie),CLOTURE DU BILAN,023,02,1,,Asset,MAD
Clôture des comptes de passif circulant (hors trésorerie),CLOTURE DU BILAN,024,02,1,,Asset,MAD
Clôture des comptes de trésorerie,CLOTURE DU BILAN,025,02,1,,Asset,MAD
Opérations en instance de dénouement (débit),COMPTES D'ORDRE,031,03,1,,Asset,MAD
Opérations en instances de dénouement (crédit),COMPTES D'ORDRE,033,03,1,,Asset,MAD
Opérations en devises entrées,COMPTES D'ORDRE,035,03,1,,Asset,MAD
Opérations en devises sorties,COMPTES D'ORDRE,036,03,1,,Asset,MAD
Autres données statistiques,COMPTES D'ORDRE,038,03,1,,Asset,MAD
"Avals, cautions et garanties donnés",ENGAGEMENTS DONNES,041,04,1,,Asset,MAD
Engagements en matière de pensions de retraite et obligations similaires,ENGAGEMENTS DONNES,043,04,1,,Asset,MAD
Effet circulant sous l’endos de l’entreprise,ENGAGEMENTS DONNES,045,04,1,,Asset,MAD
Engagements donnés pour prêt consentis,ENGAGEMENTS DONNES,046,04,1,,Asset,MAD
Autres engagement donnés,ENGAGEMENTS DONNES,048,04,1,,Asset,MAD
"Avals, cautions et garanties reçus",ENGAGEMENT REÇUS,051,05,1,,Asset,MAD
Biens détenus en garantie par l’entreprise,ENGAGEMENT REÇUS,055,05,1,,Asset,MAD
Engagement reçus sur dettes de financement,ENGAGEMENT REÇUS,056,05,1,,Asset,MAD
Engagement reçus sur trésorerie,ENGAGEMENT REÇUS,057,05,1,,Asset,MAD
Autres engagements reçus,ENGAGEMENT REÇUS,058,05,1,,Asset,MAD
Engagements de crédit-bail restant à courir,ENGAGEMENT SUR OPERATIONS DE CREDIT -BAIL,061,06,1,,Asset,MAD
Engagements reçus pour utilisation en crédit-bail,ENGAGEMENT SUR OPERATIONS DE CREDIT -BAIL,065,06,1,,Asset,MAD
Autres comptes spéciaux,AUTRES COMPTES SPECIAUX,081,08,1,,Asset,MAD
Capital social ou personnel,CAPITAUX PROPRES,111,11,1,,Equity,MAD
"Primes d'émission, de fusion et d'apport",CAPITAUX PROPRES,112,11,1,,Equity,MAD
Ecarts de réévaluation,CAPITAUX PROPRES,113,11,1,,Equity,MAD
Réserve légale,CAPITAUX PROPRES,114,11,1,,Equity,MAD
Autres réserves,CAPITAUX PROPRES,115,11,1,,Equity,MAD
Report à nouveau,CAPITAUX PROPRES,116,11,1,,Equity,MAD
Résultats nets en instance d'affectation,CAPITAUX PROPRES,118,11,1,,Equity,MAD
Résultat net de l'exercice,CAPITAUX PROPRES,119,11,1,,Equity,MAD
Subventions d'investissement,CAPITAUX PROPRES ASSIMILES,131,13,1,,Equity,MAD
Provisions réglementées,CAPITAUX PROPRES ASSIMILES,135,13,1,,Equity,MAD
Emprunts obligataires,DETTES DE FINANCEMENT,141,14,1,,Liability,MAD
Autres dettes de financement,DETTES DE FINANCEMENT,148,14,1,,Liability,MAD
Provisions pour risques,Provisions durables pour risques et charges,151,15,1,,Liability,MAD
Provisions pour charges,Provisions durables pour risques et charges,155,15,1,,Liability,MAD
Comptes de liaison des établissements et succursales,COMPTES DE LIAISON DES ETABLISSEMENTS ET SUCCURSALES,160,16,1,,Equity,MAD
Augmentation des créances immobilisées,Ecarts de conversion - Passif,171,17,1,,Equity,MAD
Diminution des dettes de financement,Ecarts de conversion - Passif,172,17,1,,Equity,MAD
Frais préliminaires,IMMOBILISATIONS EN NON-VALEURS,211,21,1,,Asset,MAD
Charges à répartir sur plusieurs exercices,IMMOBILISATIONS EN NON-VALEURS,212,21,1,,Asset,MAD
Primes de remboursement des obligations,IMMOBILISATIONS EN NON-VALEURS,213,21,1,,Asset,MAD
Immobilisation en recherche et développement,IMMOBILISATIONS INCORPORELLES,221,22,1,,Asset,MAD
"Brevets, marques, droits et valeurs similaires",IMMOBILISATIONS INCORPORELLES,222,22,1,,Asset,MAD
Fonds commercial,IMMOBILISATIONS INCORPORELLES,223,22,1,,Asset,MAD
Autres immobilisations incorporelles,IMMOBILISATIONS INCORPORELLES,228,22,1,,Asset,MAD
Terrains,IMMOBILISATIONS CORPORELLES,231,23,1,,Asset,MAD
Constructions,IMMOBILISATIONS CORPORELLES,232,23,1,,Asset,MAD
"Installations techniques, matériel et outillage",IMMOBILISATIONS CORPORELLES,233,23,1,,Asset,MAD
Matériel de transport,IMMOBILISATIONS CORPORELLES,234,23,1,,Asset,MAD
"Mobilier, matériel de bureau et aménagements divers",IMMOBILISATIONS CORPORELLES,235,23,1,,Asset,MAD
Autres immobilisations corporelles,IMMOBILISATIONS CORPORELLES,238,23,1,,Asset,MAD
Immobilisations corporelles en cours,IMMOBILISATIONS CORPORELLES,239,23,1,,Asset,MAD
Prêts immobilsés,IMMOBILSATIONS FINANCIERES,241,24_25,1,,Asset,MAD
Autres créances financières,IMMOBILSATIONS FINANCIERES,248,24_25,1,,Asset,MAD
Titres de participation,IMMOBILSATIONS FINANCIERES,251,24_25,1,,Asset,MAD
Autres titres immobilisés,IMMOBILSATIONS FINANCIERES,258,24_25,1,,Asset,MAD
Diminution des créances immobilisées,ECARTS DE CONVERSION - ACTIF,271,27,1,,Asset,MAD
Augmentation des dettes de financement,ECARTS DE CONVERSION - ACTIF,272,27,1,,Asset,MAD
Amortissements des non-valeurs,AMORTISSEMENTS DES IMMOBILISATIONS,281,28,1,,Asset,MAD
Amortissements des immobilisations incorporelles,AMORTISSEMENTS DES IMMOBILISATIONS,282,28,1,,Asset,MAD
Amortissements des immobilisations corporelles,AMORTISSEMENTS DES IMMOBILISATIONS,283,28,1,,Asset,MAD
Provisions pour dépréciation des immobilisations incorporelles,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS,292,29,1,,Asset,MAD
Provisions pour dépréciation des immobilisations corporelles,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS,293,29,1,,Asset,MAD
Provisions pour dépréciation des immobilisations financières,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS,294_295,29,1,,Asset,MAD
Marchandises,STOCKS,311,31,1,,Asset,MAD
Matières et fournitures consommables,STOCKS,312,31,1,,Asset,MAD
Produits en cours,STOCKS,313,31,1,,Asset,MAD
Produits intermédiaires et produits résiduels,STOCKS,314,31,1,,Asset,MAD
Produits finis,STOCKS,315,31,1,,Asset,MAD
"Fournisseurs débiteurs, avances et acomptes",CREANCES DE L'ACTIF CIRCULANT,341,34,1,,Asset,MAD
Clients et comptes rattachés,CREANCES DE L'ACTIF CIRCULANT,342,34,1,,Asset,MAD
Personnel - débiteur,CREANCES DE L'ACTIF CIRCULANT,343,34,1,,Asset,MAD
Etat - débiteur,CREANCES DE L'ACTIF CIRCULANT,345,34,1,,Asset,MAD
Comptes d'associés - débiteurs,CREANCES DE L'ACTIF CIRCULANT,346,34,1,,Asset,MAD
Autres débiteurs,CREANCES DE L'ACTIF CIRCULANT,348,34,1,,Asset,MAD
Comptes de régularisation - actif,CREANCES DE L'ACTIF CIRCULANT,349,34,1,,Asset,MAD
Titres et valeurs de placement,TITRES ET VALEURS DE PLACEMENT,350,35,1,,Asset,MAD
Ecart de conversion - Actif (éléments circulants),ECART DE CONVERSION - ACTIF (Eléments circulants),370,37,1,,Asset,MAD
Provisions pour dépréciation des stocks,PROVISIONS POUR DEPRECIATION DES COMPTES DE L'ACTIF CIRCULANT,391,39,1,,Asset,MAD
Provisions pour dépréciation des créances de l'actif circulant,PROVISIONS POUR DEPRECIATION DES COMPTES DE L'ACTIF CIRCULANT,394,39,1,,Asset,MAD
Provisions pour dépréciation des titres et valeurs de placement,PROVISIONS POUR DEPRECIATION DES COMPTES DE L'ACTIF CIRCULANT,395,39,1,,Asset,MAD
Fournisseurs et comptes rattachés,DETTES DU PASSIF CIRCULANT,441,44,1,,Liability,MAD
"Clients créditeurs, avances et acomptes",DETTES DU PASSIF CIRCULANT,442,44,1,,Liability,MAD
Personnel - créditeur,DETTES DU PASSIF CIRCULANT,443,44,1,,Liability,MAD
Organismes sociaux,DETTES DU PASSIF CIRCULANT,444,44,1,,Liability,MAD
Etat - créditeur,DETTES DU PASSIF CIRCULANT,445,44,1,,Liability,MAD
Comptes d'associés - créditeurs,DETTES DU PASSIF CIRCULANT,446,44,1,,Liability,MAD
Autres créanciers,DETTES DU PASSIF CIRCULANT,448,44,1,,Liability,MAD
Comptes de régularisation - passif,DETTES DU PASSIF CIRCULANT,449,44,1,,Liability,MAD
Autres provisions pour risques et charges,AUTRES PROVISIONS POUR RISQUES ET CHARGES,450,45,1,,Liability,MAD
Ecarts de conversion - passif (Eléments circulants),ECARTS DE CONVERSION - PASSIF (Eléments circulants),470,47,1,,Liability,MAD
Chèques et valeurs à encaisser,TRESORERIE - ACTIF,511,51,1,,Asset,MAD
"Banques, Trésorerie Générale et chèques postaux débiteurs",TRESORERIE - ACTIF,514,51,1,,Asset,MAD
"Caisses, régies d'avances et accréditifs",TRESORERIE - ACTIF,516,51,1,,Asset,MAD
Crédits d'escompte,TRESORERIE - PASSIF,552,55,1,,Liability,MAD
Crédits de trésorerie,TRESORERIE - PASSIF,553,55,1,,Liability,MAD
Banques (solde créditeur),TRESORERIE - PASSIF,554,55,1,,Liability,MAD
Provisions pour dépréciation des comptes de trésorerie,PROVISIONS POUR DEPRECIATION DES COMPTES DE TRESORERIE,590,59,1,,Liability,MAD
Achats revendus de marchandises,CHARGES D'EXPLOITATION,611,61,1,,Expense,MAD
Achats consommés de matières et fournitures,CHARGES D'EXPLOITATION,612,61,1,,Expense,MAD
Autres charges externes,CHARGES D'EXPLOITATION,613_614,61,1,,Expense,MAD
Impôts et taxes,CHARGES D'EXPLOITATION,616,61,1,,Expense,MAD
Charges de personnel,CHARGES D'EXPLOITATION,617,61,1,,Expense,MAD
Autres charges d'exploitation,CHARGES D'EXPLOITATION,618,61,1,,Expense,MAD
Dotations d’exploitation,CHARGES D'EXPLOITATION,619,61,1,,Expense,MAD
Charges d’intérêts,CHARGES FINANCIERES,631,63,1,,Expense,MAD
Pertes de change,CHARGES FINANCIERES,633,63,1,,Expense,MAD
Autres charges financières,CHARGES FINANCIERES,638,63,1,,Expense,MAD
Dotations financières,CHARGES FINANCIERES,639,63,1,,Expense,MAD
Valeurs nettes d’amortissements des immobilisations cédées ( V.N.A ),CHARGES NON COURANTES,651,65,1,,Expense,MAD
Subventions accordées,CHARGES NON COURANTES,656,65,1,,Expense,MAD
Autres charges non courantes,CHARGES NON COURANTES,658,65,1,,Expense,MAD
Dotations non courantes,CHARGES NON COURANTES,659,65,1,,Expense,MAD
Impôts sur les résulatats,IMPOTS SUR LES RESULTATS,670,67,1,,Expense,MAD
Ventes de marchandises,PRODUITS D’EXPLOITATION,711,71,1,,Income,MAD
Ventes de biens et services produits,PRODUITS D’EXPLOITATION,712,71,1,,Income,MAD
Variation des stocks de produits,PRODUITS D’EXPLOITATION,713,71,1,,Income,MAD
Immobilisations produites par l’entreprise pour elle même,PRODUITS D’EXPLOITATION,714,71,1,,Income,MAD
Subventions d’exploitation,PRODUITS D’EXPLOITATION,716,71,1,,Income,MAD
Autres produits d’exploitation,PRODUITS D’EXPLOITATION,718,71,1,,Income,MAD
"Reprise d’exploitation, transferts de charges",PRODUITS D’EXPLOITATION,719,71,1,,Income,MAD
Produits des titres de participation et des autres titres immobilisés,PRODUITS FINANCIERS,732,73,1,,Income,MAD
Gains de change,PRODUITS FINANCIERS,733,73,1,,Income,MAD
Intérêts et autres produits financiers,PRODUITS FINANCIERS,738,73,1,,Income,MAD
"Reprises financières, transferts de charges",PRODUITS FINANCIERS,739,73,1,,Income,MAD
Produits des cessions d’immobilisations,PRODUITS NON COURANTS,751,75,1,,Income,MAD
Subventions d’équilibre,PRODUITS NON COURANTS,756,75,1,,Income,MAD
Reprise sur subventions d’investissements,PRODUITS NON COURANTS,757,75,1,,Income,MAD
Autres produits non courants,PRODUITS NON COURANTS,758,75,1,,Income,MAD
Résultat d'exploitation,RESULTAT D'EXPLOITATION,810,81,1,,Equity,MAD
Marge brute,RESULTAT D'EXPLOITATION,811,81,1,,Equity,MAD
Valeur ajoutée,RESULTAT D'EXPLOITATION,814,81,1,,Equity,MAD
Excédent brut d'exploitation,RESULTAT D'EXPLOITATION,817,81,1,,Equity,MAD
Résultat financier,RESULTAT FINANCIER,830,83,1,,Equity,MAD
Résultat courant,RESULTAT COURANT,840,84,1,,Equity,MAD
Résultat non courant,RESULTAT NON COURANT,850,85,1,,Equity,MAD
Résultat avant impôts,RESULTAT AVANT IMPOTS,860,86,1,,Equity,MAD
Résultat après impôts,RESULTAT APRES IMPOTS,880,88,1,,Equity,MAD
Stocks et provisions pour dépréciation des stocks réfléchis,COMPTES DE PRODUITS ET CHARGES REFLECHIS,903,90,1,,Equity,MAD
Charges réfléchies,COMPTES DE PRODUITS ET CHARGES REFLECHIS,906,90,1,,Equity,MAD
Produits réfléchis,COMPTES DE PRODUITS ET CHARGES REFLECHIS,907,90,1,,Equity,MAD
Résultats réfléchis,COMPTES DE PRODUITS ET CHARGES REFLECHIS,908,90,1,,Equity,MAD
Sections générales,SECTIONS ANALYTIQUES,921,92,1,,Equity,MAD
Sections d’approvisionnement,SECTIONS ANALYTIQUES,923,92,1,,Equity,MAD
Sections de production,SECTIONS ANALYTIQUES,925,92,1,,Equity,MAD
Section de distribution,SECTIONS ANALYTIQUES,927,92,1,,Equity,MAD
Autres sections analytiques,SECTIONS ANALYTIQUES,928,92,1,,Equity,MAD
Coûts d’achat,COUTS D’ACHAT OU DE PRODUCTION,933,93,1,,Equity,MAD
Coûts de production,COUTS D’ACHAT OU DE PRODUCTION,935,93,1,,Equity,MAD
Autres coûts d’achat ou de production,COUTS D’ACHAT OU DE PRODUCTION,938,93,1,,Equity,MAD
Inventaire permanent des marchandises,INVENTAIRE PERMANENT DES STOCKS,941,94,1,,Equity,MAD
Inventaire permanent des matières et fournitures consommables,INVENTAIRE PERMANENT DES STOCKS,942,94,1,,Equity,MAD
Inventaire permanent des produits en cours,INVENTAIRE PERMANENT DES STOCKS,943,94,1,,Equity,MAD
Inventaire permanent des produits intermédiaires et produits résiduels,INVENTAIRE PERMANENT DES STOCKS,944,94,1,,Equity,MAD
Inventaire permanent des produits finis,INVENTAIRE PERMANENT DES STOCKS,945,94,1,,Equity,MAD
Provisions sur dépréciation des stocks,INVENTAIRE PERMANENT DES STOCKS,949,94,1,,Equity,MAD
Coûts de revient des marchandises,COUTS DE REVIENT,953,95,1,,Equity,MAD
Coûts de revient des produits,COUTS DE REVIENT,955,95,1,,Equity,MAD
Autres coûts de revient,COUTS DE REVIENT,958,95,1,,Equity,MAD
Ecarts sur sections,ECARTS SUR COUTS PREETABLIS,962,96,1,,Equity,MAD
Ecarts sur inventaire permanent des stocks,ECARTS SUR COUTS PREETABLIS,964,96,1,,Equity,MAD
Charges non incorporables,DIFFERENCE D’INCORPORATION,971,97,1,,Equity,MAD
Charges supplétives incorporées,DIFFERENCE D’INCORPORATION,972,97,1,,Equity,MAD
Produits non incorporés,DIFFERENCE D’INCORPORATION,973,97,1,,Equity,MAD
Différences sur charges incorporables,DIFFERENCE D’INCORPORATION,974,97,1,,Equity,MAD
Différences sur produits incorporables,DIFFERENCE D’INCORPORATION,975,97,1,,Equity,MAD
Différences d’inventaire,DIFFERENCE D’INCORPORATION,976,97,1,,Equity,MAD
Différences sur niveau d’activité,DIFFERENCE D’INCORPORATION,977,97,1,,Equity,MAD
Autres différences d’incorporation,DIFFERENCE D’INCORPORATION,978,97,1,,Equity,MAD
Résultats analytiques sur marchandises,RESULTATS ANALYTIQUES,981,98,1,,Equity,MAD
Résultats analytiques sur biens produits,RESULTATS ANALYTIQUES,982,98,1,,Equity,MAD
Résultats analytiques sur services produits,RESULTATS ANALYTIQUES,983,98,1,,Equity,MAD
Reports des écarts sur coûts préétablis,RESULTATS ANALYTIQUES,986,98,1,,Equity,MAD
Reports des différences d’incorporation,RESULTATS ANALYTIQUES,987,98,1,,Equity,MAD
Liaisons internes propres a un même établissement,COMPTES DE LIAISON INTERNE,991,99,1,,Equity,MAD
Cessions à d’autres établissements,COMPTES DE LIAISON INTERNE,995,99,1,,Equity,MAD
Réouverture des comptes des capitaux propres,Réouverture des comptes de financement permanent,0111,011,0,,Asset,MAD
Réouverture des comptes des capitaux propres assimilés,Réouverture des comptes de financement permanent,0113,011,0,,Asset,MAD
Réouverture des comptes des dettes de financement,Réouverture des comptes de financement permanent,0114,011,0,,Asset,MAD
Réouverture des comptes de provisions durables pour risques et charges,Réouverture des comptes de financement permanent,0115,011,0,,Asset,MAD
Réouverture des comptes de liaison des établissements et succursales,Réouverture des comptes de financement permanent,0116,011,0,,Asset,MAD
Réouverture des comptes d’écarts de conversion –Passif,Réouverture des comptes de financement permanent,0117,011,0,,Asset,MAD
Réouverture des comptes d’immobilisation en non-valeurs,Réouverture des comptes d’actif immobilisé,0121,012,0,,Asset,MAD
Réouverture des comptes d’immobilisations incorporelles,Réouverture des comptes d’actif immobilisé,0122,012,0,,Asset,MAD
Réouverture des comptes des immobilisations corporelles,Réouverture des comptes d’actif immobilisé,0123,012,0,,Asset,MAD
Réouverture des comptes d’écarts de conversion -Actif,Réouverture des comptes d’actif immobilisé,0127,012,0,,Asset,MAD
Réouverture des comptes des amortissements des immobilisations,Réouverture des comptes d’actif immobilisé,0128,012,0,,Asset,MAD
Réouverture des comptes de provisions pour dépréciation des comptes de l’actif immobilisé,Réouverture des comptes d’actif immobilisé,0129,012,0,,Asset,MAD
Réouverture des comptes de stocks,Réouverture des comptes d’actif circulant (hors trésorerie),0131,013,0,,Asset,MAD
Réouverture des comptes de créances,Réouverture des comptes d’actif circulant (hors trésorerie),0134,013,0,,Asset,MAD
Réouverture des comptes titres et valeurs de placement,Réouverture des comptes d’actif circulant (hors trésorerie),0135,013,0,,Asset,MAD
Réouverture des comptes des écarts de conversion –Actif (Elément circulants),Réouverture des comptes d’actif circulant (hors trésorerie),0137,013,0,,Asset,MAD
Réouverture des comptes de provisions pour dépréciation des comptes de l’actif circulant,Réouverture des comptes d’actif circulant (hors trésorerie),0139,013,0,,Asset,MAD
Réouverture des comptes de dettes du passif circulant,014. Réouverture des comptes de passif circulant ( hors trésorerie),0144,014,0,,Asset,MAD
des comptes des autres provisions pour risques et charges,014. Réouverture des comptes de passif circulant ( hors trésorerie),0145,014,0,,Asset,MAD
Réouverture des comptes des écarts de conversion –Passif (Eléments circulants),014. Réouverture des comptes de passif circulant ( hors trésorerie),0147,014,0,,Asset,MAD
Réouverture des comptes de trésorerie -Actif,Réouverture des comptes de trésorerie,0151,015,0,,Asset,MAD
Réouverture des comptes de trésorerie -Passif,Réouverture des comptes de trésorerie,0155,015,0,,Asset,MAD
Réouverture des comptes de provisions pour dépréciation des comptes de trésorerie,Réouverture des comptes de trésorerie,0159,015,0,,Asset,MAD
Clôture des comptes de capitaux propres,Clôture des comptes de financement permanent,0211,021,0,,Asset,MAD
Clôture des comptes de capitaux propres assimilés,Clôture des comptes de financement permanent,0213,021,0,,Asset,MAD
Clôture des comptes de dettes de financement,Clôture des comptes de financement permanent,0214,021,0,,Asset,MAD
Clôture des comptes de provisions durables pour risques et charges,Clôture des comptes de financement permanent,0215,021,0,,Asset,MAD
Clôture des comptes de liaison des établissements et succursales,Clôture des comptes de financement permanent,0216,021,0,,Asset,MAD
Clôture des comptes des écarts de conversion -Passif,Clôture des comptes de financement permanent,0217,021,0,,Asset,MAD
Clôture des comptes d’immobilisation en non-valeurs,Clôture des comptes d’actif immobilisé,0221,022,0,,Asset,MAD
Clôture des comptes des immobilisations incorporelles,Clôture des comptes d’actif immobilisé,0222,022,0,,Asset,MAD
Clôture des comptes des immobilisations corporelles,Clôture des comptes d’actif immobilisé,0223,022,0,,Asset,MAD
Clôture des comptes des écarts de conversion -Actif,Clôture des comptes d’actif immobilisé,0227,022,0,,Asset,MAD
Clôture des comptes des amortissements des immobilisations,Clôture des comptes d’actif immobilisé,0228,022,0,,Asset,MAD
Clôture des comptes de provisions pour dépréciation des comptes de l’actif immobilisé,Clôture des comptes d’actif immobilisé,0229,022,0,,Asset,MAD
Clôture des comptes de stocks,Clôture des comptes d’actif circulant (hors trésorerie),0231,023,0,,Asset,MAD
Clôture des comptes de créances,Clôture des comptes d’actif circulant (hors trésorerie),0234,023,0,,Asset,MAD
Clôture des comptes titres et valeurs de placement,Clôture des comptes d’actif circulant (hors trésorerie),0235,023,0,,Asset,MAD
Clôture des comptes des écarts de conversion -Actif (Eléments circulants),Clôture des comptes d’actif circulant (hors trésorerie),0237,023,0,,Asset,MAD
Clôture des comptes de provisions pour dépréciation des comptes de l’actif circulant,Clôture des comptes d’actif circulant (hors trésorerie),0239,023,0,,Asset,MAD
Clôture des comptes de dettes du passif circulant,Clôture des comptes de passif circulant (hors trésorerie),0244,024,0,,Asset,MAD
Clôture des comptes des autres provisions pour risques et charges,Clôture des comptes de passif circulant (hors trésorerie),0245,024,0,,Asset,MAD
Clôture des comptes des écarts de conversion -Passif (Eléments circulants),Clôture des comptes de passif circulant (hors trésorerie),0247,024,0,,Asset,MAD
Clôture des comptes de trésorerie -Actif,Clôture des comptes de trésorerie,0251,025,0,,Asset,MAD
Clôture des comptes de trésorerie -Passif,Clôture des comptes de trésorerie,0255,025,0,,Asset,MAD
Clôture des comptes de provisions pour dépréciation des comptes de trésorerie,Clôture des comptes de trésorerie,0259,025,0,,Asset,MAD
Opérations de débit en instance de dénouement,Opérations en instance de dénouement (débit),0311,031,0,,Asset,MAD
Contrepartie des opérations en instance de dénouement,Opérations en instance de dénouement (débit),0319,031,0,,Asset,MAD
Opérations de crédit en instance de dénouement,Opérations en instances de dénouement (crédit),0331,033,0,,Asset,MAD
Contrepartie des opérations en instance de dénouement,Opérations en instances de dénouement (crédit),0339,033,0,,Asset,MAD
Contre-valeur devises -entrées,Opérations en devises entrées,0351,035,0,,Asset,MAD
Contrepartie devises -entrées,Opérations en devises entrées,0359,035,0,,Asset,MAD
Contre-valeur devises -sorties,Opérations en devises sorties,0361,036,0,,Asset,MAD
Contrepartie devises -sorties,Opérations en devises sorties,0369,036,0,,Asset,MAD
Opérations statistiques suivies,Autres données statistiques,0381,038,0,,Asset,MAD
Contrepartie des opérations statistiques suivies,Autres données statistiques,0389,038,0,,Asset,MAD
"Avals, cautions et garanties donnés","Avals, cautions et garanties donnés",0411,041,0,,Asset,MAD
Débiteurs pour avals et cautions donnés,"Avals, cautions et garanties donnés",0419,041,0,,Asset,MAD
Engagements en matière de pensions de retraite et obligations similaires,Engagements en matière de pensions de retraite et obligations similaires,0431,043,0,,Asset,MAD
Débiteurs pour engagements en matière de pensions de retraite et obligations similaires,Engagements en matière de pensions de retraite et obligations similaires,0439,043,0,,Asset,MAD
Effet circulant sous l’endos de l’entreprise,Effet circulant sous l’endos de l’entreprise,0451,045,0,,Asset,MAD
Débiteurs pour effets circulant sous l’endos de l’entreprise,Effet circulant sous l’endos de l’entreprise,0459,045,0,,Asset,MAD
Prêt consentis non encore versés,Engagements donnés pour prêt consentis,0461,046,0,,Asset,MAD
